City Name,City ID,Country,Latitude,Longitude,Date of Data Calculation,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
Barcelona,3128760,ES,41.39,2.16,1593039780,75.0,83,20,4.7
Mana,3381041,GF,5.66,-53.78,1593039830,78.49,86,33,6.64
Rikitea,4030556,PF,-23.12,-134.97,1593039830,70.66,56,89,10.56
Wilmington,4499379,US,34.23,-77.94,1593039563,86.0,66,20,10.29
Puerto Ayora,3652764,EC,-0.74,-90.35,1593039830,71.01,90,48,3.0
Hilo,5855927,US,19.73,-155.09,1593039587,80.6,69,90,16.11
Bluff,2206939,NZ,-46.6,168.33,1593039830,50.07,81,59,18.77
Tuatapere,2180815,NZ,-46.13,167.68,1593039830,45.93,82,99,4.99
Atuona,4020109,PF,-9.8,-139.03,1593039830,79.32,70,30,14.23
Castro,3466704,BR,-24.79,-50.01,1593039830,56.23,89,24,4.03
Torbay,6167817,CA,47.67,-52.73,1593039830,75.2,73,40,11.41
Dunedin,2191562,NZ,-45.87,170.5,1593039785,46.99,92,99,1.01
Bredasdorp,1015776,ZA,-34.53,20.04,1593039830,51.8,100,0,3.96
Hermanus,3366880,ZA,-34.42,19.23,1593039831,59.97,58,0,5.17
Punta Arenas,3874787,CL,-53.15,-70.92,1593039831,39.2,69,75,16.11
Vestmanna,2610343,FO,62.16,-7.17,1593039831,50.0,93,78,13.87
Ushuaia,3833367,AR,-54.8,-68.3,1593039741,35.6,93,90,10.29
Isangel,2136825,VU,-19.55,169.27,1593039831,77.0,88,75,10.94
San Cristobal,3628473,VE,7.77,-72.22,1593039803,86.0,58,40,11.41
Klaksvík,2618795,FO,62.23,-6.59,1593039831,50.0,93,51,13.87
Ponta do Sol,2264557,PT,32.67,-17.1,1593039831,71.6,60,20,10.29
Malakal,370737,SS,9.53,31.66,1593039831,75.42,80,30,4.27
Hong Kong,1819729,HK,22.29,114.16,1593039600,86.0,70,100,11.01
Vung Tau,1562414,VN,10.35,107.08,1593039831,81.68,82,100,7.85
Saint-Pierre,935214,RE,-21.34,55.48,1593039831,66.2,77,2,5.82
Calama,3897347,CL,-22.47,-68.93,1593039832,59.0,13,0,19.46
Bethel,5282297,US,41.37,-73.41,1593039832,82.99,34,1,13.87
Albany,5106841,US,42.6,-73.97,1593039682,81.0,39,1,7.65
El Tigre,3641351,VE,8.89,-64.25,1593039832,82.67,60,26,9.42
Chui,3443061,UY,-33.7,-53.46,1593039711,62.78,98,100,1.88
Mataura,6201424,NZ,-46.19,168.86,1593039832,47.98,79,50,8.63
Karaidel',552862,RU,55.83,56.91,1593039832,41.74,83,82,4.59
Hay River,5972762,CA,60.82,-115.8,1593039673,71.6,40,40,8.05
Mount Gambier,2156643,AU,-37.83,140.77,1593039832,44.6,100,75,9.17
Husavik,2629833,IS,66.04,-17.34,1593039832,55.4,71,40,20.8
Ahipara,2194098,NZ,-35.17,173.17,1593039832,60.98,83,48,5.41
Vaini,4032243,TO,-21.2,-175.2,1593039832,77.0,73,75,6.93
Jamestown,5122534,US,42.1,-79.24,1593039833,68.0,45,1,17.22
Nikolskoye,546105,RU,59.7,30.79,1593039833,64.4,68,60,4.47
Mossamedes,3347019,AO,-15.2,12.15,1593039833,69.55,57,0,4.7
Talnakh,1490256,RU,69.49,88.4,1593039833,55.4,82,74,4.47
Mahébourg,934322,MU,-20.41,57.7,1593039663,71.6,83,40,9.17
Vila Franca do Campo,3372472,PT,37.72,-25.43,1593039833,62.6,72,75,5.82
Ribeira Grande,3372707,PT,38.52,-28.7,1593039833,63.43,68,0,10.58
Tasiilaq,3424607,GL,65.61,-37.64,1593039833,39.2,86,100,3.36
Iqaluit,5983720,CA,63.75,-68.51,1593039833,46.4,75,90,2.24
Kapaa,5848280,US,22.08,-159.32,1593039833,82.4,65,1,9.17
Hobart,2163355,AU,-42.88,147.33,1593039541,51.01,93,40,3.36
Sioux Lookout,6148373,CA,50.1,-91.92,1593039833,77.0,29,20,12.75
Enugu,2343279,NG,6.44,7.49,1593039834,73.94,95,100,4.36
Pevek,2122090,RU,69.7,170.31,1593039834,32.32,96,93,4.38
Vila Velha,3445026,BR,-20.33,-40.29,1593039834,71.6,78,34,6.93
Carnarvon,2074865,AU,-24.87,113.63,1593039834,51.8,100,0,6.93
Hithadhoo,1282256,MV,-0.6,73.08,1593039795,83.28,77,78,11.16
Coyhaique,3894426,CL,-45.58,-72.07,1593039834,37.4,64,20,3.36
Saldanha,3361934,ZA,-33.01,17.94,1593039834,53.6,87,0,4.7
Chapais,5919850,CA,49.78,-74.85,1593039613,71.6,56,75,25.28
Kuusamo,649924,FI,65.97,29.18,1593039593,55.4,93,78,2.24
Butaritari,2110227,KI,3.07,172.79,1593039834,83.73,77,87,12.73
East London,1006984,ZA,-33.02,27.91,1593039834,68.61,26,0,7.05
Praia da Vitória,3372760,PT,38.73,-27.07,1593039590,64.4,77,20,9.53
Ozernovskiy,2122293,RU,51.5,156.52,1593039835,51.28,82,7,7.31
Tura,1254046,IN,25.52,90.22,1593039835,74.73,96,100,5.53
Wajid,50814,SO,3.81,43.25,1593039835,74.53,72,33,18.84
Road Town,3577430,VG,18.42,-64.62,1593039609,84.2,74,40,10.29
Nísia Floresta,3393922,BR,-6.09,-35.21,1593039835,77.0,78,75,5.82
Longyearbyen,2729907,SJ,78.22,15.64,1593039690,42.8,87,90,2.24
Khatanga,2022572,RU,71.97,102.5,1593039835,75.02,46,100,8.75
Kavieng,2094342,PG,-2.57,150.8,1593039835,85.35,66,70,13.13
Riberalta,3906466,BO,-10.98,-66.1,1593039835,76.75,85,100,2.06
Mirny,2019951,RU,62.54,113.96,1593039835,60.8,93,75,4.47
Mar del Plata,3430863,AR,-38.0,-57.56,1593039788,55.0,76,93,10.29
Esperance,2071860,AU,-33.87,121.9,1593039835,42.8,87,0,8.05
Olinda,3393536,BR,-8.01,-34.86,1593039835,78.8,69,20,8.05
Provideniya,4031574,RU,64.38,-173.3,1593039836,42.8,62,75,13.42
Busselton,2075265,AU,-33.65,115.33,1593039836,51.01,71,95,7.78
Smolenka,2016405,RU,52.14,113.5,1593039836,53.6,93,40,4.47
Coquimbo,3893629,CL,-29.95,-71.34,1593039670,57.2,71,0,10.29
Kenai,5866063,US,60.55,-151.26,1593039836,59.0,76,90,9.17
Qaanaaq,3831208,GL,77.48,-69.36,1593039836,39.6,72,81,7.81
Geraldton,2070998,AU,-28.77,114.6,1593039836,53.6,71,2,10.29
Pisz,762120,PL,53.63,21.81,1593039836,61.9,95,10,5.95
Kiunga,2093846,PG,-6.12,141.29,1593039836,76.08,93,49,1.7
College,5859699,US,64.86,-147.8,1593039836,60.01,67,90,6.93
Thompson,6165406,CA,55.74,-97.86,1593039836,82.4,30,75,12.75
Jalu,86049,LY,29.03,21.55,1593039836,75.78,51,0,14.16
Pontianak,1630789,ID,-0.03,109.33,1593039836,72.66,97,100,2.73
Salinópolis,3389822,BR,-0.61,-47.36,1593039837,79.56,83,81,12.55
Sigiriya,1228051,LK,7.95,80.74,1593039837,76.6,80,77,9.24
Kloulklubed,7671223,PW,7.04,134.26,1593039837,82.4,88,75,5.82
Honningsvåg,779554,NO,70.98,25.97,1593039837,47.5,85,2,13.65
Kismayo,55671,SO,-0.36,42.55,1593039837,77.94,82,36,16.46
Cervo,3125287,ES,43.67,-7.41,1593039837,63.0,88,46,1.01
Clyde River,5924351,CA,70.47,-68.59,1593039837,46.4,70,1,13.87
Evensk,2125693,RU,61.95,159.23,1593039837,56.73,64,69,6.6
Pisco,3932145,PE,-13.7,-76.22,1593039788,64.4,82,40,9.17
Prachuap Khiri Khan,1151074,TH,11.82,99.78,1593039837,79.05,84,89,6.51
Tomatlán,3981391,MX,19.93,-105.25,1593039837,86.88,58,73,6.91
Plyussa,508743,RU,58.43,29.37,1593039837,60.87,73,24,2.84
Avarua,4035715,CK,-21.21,-159.78,1593039784,77.0,83,55,10.29
Nouadhibou,2377457,MR,20.93,-17.03,1593039581,71.6,73,0,17.22
Mogadishu,53654,SO,2.04,45.34,1593039838,77.97,86,67,13.96
Balaipungut,1650600,ID,1.05,101.28,1593039838,72.23,93,86,0.45
Senanga,898947,ZM,-16.12,23.27,1593039838,52.43,53,0,6.42
Morro Bay,5374920,US,35.37,-120.85,1593039779,82.99,86,83,5.99
Fortuna,5563839,US,40.6,-124.16,1593039838,70.0,82,1,18.34
Champerico,3598787,GT,14.3,-91.92,1593039838,87.8,66,75,11.41
Mount Isa,2065594,AU,-20.73,139.5,1593039838,53.6,40,0,1.12
Roald,3141667,NO,62.58,6.13,1593039838,62.01,72,74,12.75
Mikuni,1857260,JP,36.22,136.15,1593039838,75.2,78,75,2.24
Loreto,3998291,MX,22.27,-101.97,1593039838,79.21,28,98,16.06
Murgab,1218612,TM,37.5,61.97,1593039838,77.0,36,0,6.93
Egvekinot,4031742,RU,66.32,-179.17,1593039839,34.29,92,100,2.86
Port Blair,1259385,IN,11.67,92.75,1593039839,81.99,82,66,9.98
Saskylakh,2017155,RU,71.92,114.08,1593039839,82.31,27,1,7.14
Gunnedah,2164206,AU,-30.98,150.25,1593039839,46.4,100,90,2.75
Port Alfred,964432,ZA,-33.59,26.89,1593039839,69.01,29,0,8.99
Petropavlovsk-Kamchatskiy,2122104,RU,53.05,158.65,1593039839,69.8,56,10,6.71
Alice Springs,2077895,AU,-23.7,133.88,1593039643,33.8,69,1,5.82
Lavrentiya,4031637,RU,65.58,-171.0,1593039839,39.4,70,100,6.4
Port Elizabeth,964420,ZA,-33.92,25.57,1593039607,53.6,50,0,5.82
Timrå,2669047,SE,62.49,17.33,1593039839,63.0,100,0,3.36
Northam,2641434,GB,51.03,-4.22,1593039839,68.0,73,0,5.01
Narsaq,3421719,GL,60.92,-46.05,1593039587,46.4,75,100,3.36
Honiara,2108502,SB,-9.43,159.95,1593039839,84.2,70,20,5.82
George Town,1735106,MY,5.41,100.34,1593039719,78.8,88,20,5.82
Olafsvik,3414079,IS,64.89,-23.71,1593039840,50.05,83,11,7.78
Araouane,2460954,ML,18.9,-3.53,1593039840,91.53,8,0,2.82
Lalibela,332288,ET,12.03,39.03,1593039840,61.34,41,100,3.65
Kwang Binh,1582886,VN,17.48,106.6,1593039766,85.44,70,100,7.34
Kovdor,543508,RU,67.57,30.48,1593039840,47.86,94,84,4.79
Dikson,1507390,RU,73.51,80.55,1593039840,40.05,82,99,12.08
Kushiro,2129376,JP,42.98,144.37,1593039840,55.4,87,75,3.36
Saint-Philippe,935215,RE,-21.36,55.77,1593039840,66.2,77,39,5.82
Teguise,2510573,ES,29.06,-13.56,1593039840,71.6,68,20,14.99
Portland,5746545,US,45.52,-122.68,1593039246,78.01,57,75,3.36
Tanout,2439155,NE,14.97,8.89,1593039840,91.42,11,6,8.79
Arraial do Cabo,3471451,BR,-22.97,-42.03,1593039660,69.8,83,37,9.17
San Patricio,3985168,MX,19.22,-104.7,1593039840,86.0,74,40,9.17
Tuktoyaktuk,6170031,CA,69.45,-133.04,1593039841,44.6,79,40,9.17
Tiksi,2015306,RU,71.69,128.87,1593039841,65.93,41,12,3.4
Cape Town,3369157,ZA,-33.93,18.42,1593039782,60.01,67,1,11.41
Airai,1651810,TL,-8.93,125.41,1593039841,59.85,100,53,4.03
Norman Wells,6089245,CA,65.28,-126.83,1593039841,51.8,81,90,10.29
Mackay,2159220,AU,-21.15,149.2,1593039841,61.0,81,0,5.82
Vanavara,2013727,RU,60.34,102.28,1593039612,65.17,55,1,1.54
Cherskiy,2126199,RU,68.75,161.3,1593039841,59.65,34,61,4.61
Vestmannaeyjar,3412093,IS,63.44,-20.27,1593039562,50.9,87,39,1.7
Sur,286245,OM,22.57,59.53,1593039842,83.5,82,0,6.53
Mehamn,778707,NO,71.04,27.85,1593039842,46.51,87,19,17.76
Yeppoon,2142316,AU,-23.13,150.73,1593039842,53.6,66,0,6.53
Bonthe,2409914,SL,7.53,-12.51,1593039842,77.99,87,100,7.43
Nyimba,900056,ZM,-14.56,30.81,1593039842,64.71,60,21,6.35
Bulgan,2032201,MN,48.81,103.53,1593039842,56.23,74,0,1.81
Broken Hill,2173911,AU,-31.95,141.43,1593039842,39.2,80,0,3.36
Cairns,2172797,AU,-16.92,145.77,1593039776,72.0,68,90,10.29
Bonavista,5905393,CA,48.65,-53.11,1593039842,62.38,88,39,15.66
Zavyalovo,1505506,RU,54.51,82.45,1593039842,53.6,93,1,4.47
Gander,5959335,CA,48.97,-54.59,1593039843,78.8,57,20,14.99
New Norfolk,2155415,AU,-42.78,147.06,1593039843,51.01,94,82,2.48
Jumla,1283285,NP,29.27,82.18,1593039843,61.79,70,81,0.38
Launceston,2160517,AU,-41.45,147.17,1593039788,51.01,100,90,2.24
Hazorasp,1513957,UZ,41.32,61.07,1593039843,68.0,37,0,4.7
Progreso,3521108,MX,21.28,-89.67,1593039843,91.99,55,90,13.87
Sobolevo,525426,RU,54.43,31.9,1593039843,59.68,82,3,5.06
Pingliang,1798760,CN,35.54,106.69,1593039843,69.1,52,8,1.1
Risod,1258124,IN,19.97,76.78,1593039843,81.75,69,92,0.65
Barrow,5880054,US,71.29,-156.79,1593039843,35.6,74,40,6.93
Khovd,1516048,MN,48.01,91.64,1593039843,62.02,45,56,6.82
Tilichiki,2120591,RU,60.47,166.1,1593039843,61.97,51,31,8.63
Yellowknife,6185377,CA,62.46,-114.35,1593039686,69.01,42,75,11.41
Kieta,2094027,PG,-6.22,155.63,1593039844,84.11,64,9,6.13
Cabo San Lucas,3985710,MX,22.89,-109.91,1593039660,93.2,12,5,19.46
Mahajanga,1062663,MG,-15.72,46.32,1593039844,71.6,94,4,2.24
Bonnyville,5905616,CA,54.27,-110.73,1593039584,73.4,46,40,6.6
Upernavik,3418910,GL,72.79,-56.15,1593039844,34.9,88,38,1.19
Lagoa,3372964,PT,39.05,-27.98,1593039844,63.27,68,0,10.76
Ukiah,5404476,US,39.15,-123.21,1593039436,93.2,26,1,14.99
Guozhen,1809263,CN,34.37,107.36,1593039844,75.06,61,1,1.7
Cayenne,3382160,GF,4.93,-52.33,1593039844,78.8,100,28,6.2
Sloboda,492042,RU,51.14,40.3,1593039845,56.89,87,0,9.62
Caravelas,3466980,BR,-17.71,-39.25,1593039845,71.08,79,21,4.74
Salalah,286621,OM,17.02,54.09,1593039845,82.4,94,44,9.17
Puerto Maldonado,3931470,PE,-12.6,-69.18,1593039845,77.04,85,96,2.82
Nybro,2687902,SE,56.74,15.91,1593039845,61.0,100,0,4.18
Hasaki,2112802,JP,35.73,140.83,1593039845,64.4,100,75,12.75
Rocha,3440777,UY,-34.48,-54.33,1593039845,57.92,96,98,4.16
Mareeba,2158767,AU,-17.0,145.43,1593039845,75.0,78,10,5.01
Pundaguitan,1698289,PH,6.37,126.17,1593039845,82.87,74,100,4.63
Qiongshan,1797535,CN,20.01,110.35,1593039845,82.4,88,100,6.71
Bunia,217695,CD,1.57,30.25,1593039845,64.09,86,49,4.0
Maceió,3395981,BR,-9.67,-35.74,1593039726,73.4,94,40,2.24
Leh,1264976,IN,34.17,77.58,1593039845,54.48,42,56,6.73
Linjiang,2036069,CN,41.81,126.91,1593039846,63.41,77,85,1.97
Effium,2343985,NG,6.63,8.06,1593039846,74.77,93,100,8.25
Bengkulu,1649150,ID,-3.8,102.27,1593039846,76.71,69,98,2.26
High Rock,3572189,BS,26.62,-78.28,1593039785,86.0,84,75,3.36
Ostrovnoy,556268,RU,68.05,39.51,1593039846,42.21,86,100,3.87
Labuhan,8079926,ID,-6.88,112.21,1593039846,75.16,87,86,7.34
Tālcher,1255143,IN,20.95,85.22,1593039846,80.87,85,54,6.58
La Libertad,3655131,EC,-2.23,-80.9,1593039846,75.2,83,40,9.17
Saint-Félicien,6138201,CA,48.65,-72.45,1593039846,77.0,50,75,17.22
Nemuro,2128975,JP,43.32,145.57,1593039597,51.4,84,94,7.61
Najrān,103630,SA,17.49,44.13,1593039846,80.6,14,46,2.24
Herisau,2660365,CH,47.39,9.28,1593039847,61.0,77,0,3.36
Saint Paul Harbor,5866583,US,57.79,-152.41,1593039756,53.6,76,90,6.93
Port Hedland,2063042,AU,-20.32,118.57,1593039847,55.4,71,0,8.05
Boguchany,1509844,RU,58.38,97.45,1593039847,67.8,60,99,2.46
Shitanjing,1794971,CN,39.23,106.34,1593039847,67.91,25,6,1.52
Yar-Sale,1486321,RU,66.83,70.83,1593039583,47.52,64,42,7.47
Ponta Delgada,3372783,PT,37.73,-25.67,1593039847,62.6,72,75,5.82
Lüderitz,3355672,NA,-26.65,15.16,1593039847,62.6,33,0,4.7
Saquarema,3448011,BR,-22.92,-42.51,1593039847,69.8,83,46,9.17
Mandalgovi,2030065,MN,45.76,106.27,1593039847,55.74,69,8,17.45
Oktyabr'skoye,515805,RU,43.06,44.74,1593039847,64.4,88,37,2.24
Puerto Carreño,3671519,CO,6.19,-67.49,1593039847,87.8,58,40,2.24
Wanning,1791779,CN,18.8,110.4,1593039847,83.17,86,100,12.66
Delījān,136399,IR,33.99,50.68,1593039848,79.86,17,0,3.27
Arlit,2447513,NE,18.74,7.39,1593039848,93.7,10,16,8.68
Hambantota,1244926,LK,6.12,81.12,1593039848,79.95,80,100,15.82
Kentau,1522751,KZ,43.52,68.51,1593039848,69.24,23,0,10.47
Omboué,2396853,GA,-1.57,9.26,1593039848,72.88,83,93,6.89
Walvis Bay,3359638,NA,-22.96,14.51,1593039848,62.6,44,0,8.05
Flin Flon,5954718,CA,54.77,-101.86,1593039597,77.0,41,90,5.82
Ancud,3899695,CL,-41.87,-73.82,1593039610,43.0,93,75,2.24
Leningradskiy,2123814,RU,69.38,178.42,1593039848,34.68,85,100,14.41
Grindavik,3416888,IS,63.84,-22.43,1593039848,48.2,87,75,9.17
Fuerte Olimpo,3438102,PY,-21.04,-57.87,1593039848,85.5,41,97,11.05
Kulhudhuffushi,1337613,MV,6.62,73.07,1593039848,83.05,79,100,18.95
Kidal,2455290,ML,18.44,1.41,1593039849,88.48,19,56,2.66
Hagenow,2912481,DE,53.43,11.18,1593039849,61.0,83,46,1.99
Esim,2303611,GH,4.87,-2.24,1593039593,77.34,89,60,9.24
Roseţi,668660,RO,44.22,27.43,1593039849,73.0,64,2,1.01
Chester,5184079,US,40.13,-75.87,1593039849,80.01,44,1,8.05
Carutapera,3402648,BR,-1.2,-46.02,1593039849,77.16,87,95,7.61
Sambava,1056899,MG,-14.27,50.17,1593039849,69.94,85,6,10.92
Severo-Kuril'sk,2121385,RU,50.68,156.12,1593039849,52.45,75,8,6.89
Nefteyugansk,1497917,RU,61.1,72.6,1593039849,53.6,100,20,6.71
Ryde,2638911,GB,50.73,-1.16,1593039652,70.0,78,0,1.99
Icod de los Vinos,2516474,ES,28.37,-16.71,1593039850,73.99,82,81,1.01
Kailua,5847486,US,21.4,-157.74,1593039850,84.2,62,75,12.75
Porto Velho,3662762,BR,-8.76,-63.9,1593039579,78.8,88,100,2.24
Taltal,3870243,CL,-25.4,-70.48,1593039850,57.51,75,81,4.65
Vanimo,2084442,PG,-2.67,141.3,1593039850,81.12,76,62,6.93
Mount Vernon,5127835,US,40.91,-73.84,1593039621,84.2,34,20,12.77
Dingle,1714733,PH,11.0,122.67,1593039850,80.98,83,100,5.88
Vao,2137773,NC,-22.67,167.48,1593039850,70.38,61,21,12.62
Camacupa,3351014,AO,-12.02,17.48,1593039850,51.21,45,0,4.85
Bathsheba,3374083,BB,13.22,-59.52,1593039850,82.4,74,20,24.16
Rāmgarh,1258686,IN,23.63,85.52,1593039850,78.8,88,40,6.93
Niwāri,1261262,IN,28.88,77.53,1593039851,93.0,83,20,5.82
Namatanai,2090021,PG,-3.67,152.43,1593039571,84.52,67,55,7.14
Hirara,1862505,JP,24.8,125.28,1593039851,84.2,83,75,13.87
Taksimo,2015701,RU,56.34,114.88,1593039851,59.68,80,34,2.01
Rincon,4218882,US,32.3,-81.24,1593039571,91.4,49,75,11.41
Half Moon Bay,5354943,US,37.46,-122.43,1593039851,80.01,53,5,11.41
Sumbe,3346015,AO,-11.21,13.84,1593039846,71.01,83,2,5.28
Nantucket,4944903,US,41.28,-70.1,1593039632,71.01,93,90,12.75
Maholi,1264356,IN,27.67,80.47,1593039851,88.41,60,89,6.42
Port Hardy,6111862,CA,50.7,-127.42,1593039610,60.8,72,40,14.99
Liwale,155921,TZ,-9.77,37.93,1593039851,64.65,74,2,3.02
São João da Barra,3448903,BR,-21.64,-41.05,1593039851,71.19,82,21,12.01
Khasan,2039557,RU,42.43,130.64,1593039851,58.66,97,100,10.45
Buchanan,2278158,LR,5.88,-10.05,1593039852,77.0,94,75,6.96
Cidreira,3466165,BR,-30.18,-50.21,1593039852,68.38,72,35,6.85
Oistins,3373652,BB,13.07,-59.53,1593039572,82.4,74,20,24.16
Balkanabat,161616,TM,39.51,54.37,1593039852,89.94,13,0,16.6
Henties Bay,3356832,NA,-22.12,14.28,1593039852,61.0,61,0,5.99
Takoradze,2294915,GH,4.88,-1.76,1593039852,77.41,89,42,9.78
Mezen',527321,RU,65.85,44.24,1593039852,42.64,88,97,7.38
Ngunguru,2186111,NZ,-35.62,174.5,1593039852,55.99,98,28,3.0
Pucallpa,3693345,PE,-8.38,-74.55,1593039852,87.8,58,20,6.93
