City Name,City ID,Country,Latitude,Longitude,Date of Data Calculation,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
Bambanglipuro,1650434,ID,-7.95,110.28,1593039755,73.53,89,98,5.86
Zhezkazgan,1516589,KZ,47.8,67.71,1593039853,64.71,29,98,7.07
Gold Coast,2165087,AU,-28.0,153.43,1593039740,61.0,76,0,2.73
Naze,1855540,JP,28.37,129.48,1593039853,80.6,94,75,11.41
Mpongwe,905789,ZM,-13.51,28.16,1593039853,56.19,81,0,8.05
Port Macquarie,2152659,AU,-31.43,152.92,1593039853,57.0,74,1,1.01
Mineral Wells,4711647,US,32.81,-98.11,1593039853,88.0,40,1,6.93
Bambous Virieux,1106677,MU,-20.34,57.76,1593039853,71.6,83,40,9.17
Ocampo,3994535,MX,21.65,-101.5,1593039853,73.74,36,99,17.65
Revelstoke,6121621,CA,50.98,-118.2,1593039853,64.4,88,75,2.24
Kutum,371745,SD,14.2,24.67,1593039853,74.34,48,43,7.94
Korla,1529376,CN,41.76,86.15,1593039853,74.7,24,16,19.82
Cartagena,3687238,CO,10.4,-75.51,1593039853,91.4,63,40,6.93
Saint George,5546220,US,37.1,-113.58,1593039678,105.01,7,1,11.41
Lázaro Cárdenas,4026082,MX,17.96,-102.2,1593039556,82.45,77,9,15.08
Te Anau,2181625,NZ,-45.42,167.72,1593039854,41.23,81,63,0.98
Ridgecrest,5387494,US,35.62,-117.67,1593039854,105.8,8,75,6.93
Mumford,2297810,GH,5.26,-0.76,1593039854,77.88,88,50,10.13
Ballina,2177069,AU,-28.87,153.57,1593039821,55.99,76,0,1.12
Iquique,3887127,CL,-20.22,-70.14,1593039716,62.6,67,75,12.75
Kasongo-Lunda,2315026,CD,-6.47,16.82,1593039854,71.82,41,11,0.25
Westport,4845585,US,41.14,-73.36,1593039854,84.2,32,1,9.17
Tazovsky,1489853,RU,67.47,78.7,1593039854,47.19,88,37,3.76
Gospić,3199873,HR,44.55,15.37,1593039854,60.8,77,0,1.12
Antofagasta,3899539,CL,-23.65,-70.4,1593039755,59.0,82,90,8.05
Dwārka,1272140,IN,22.24,68.97,1593039854,85.68,78,45,10.09
Killybegs,2963295,IE,54.63,-8.45,1593039855,52.0,94,86,1.01
Barra de Tecoanapa,3516171,MX,16.52,-98.75,1593039855,79.61,76,100,5.21
Kaeo,2189343,NZ,-35.1,173.78,1593039855,55.99,3,9,2.06
Kinshasa,2314302,CD,-4.32,15.32,1593039753,73.4,88,75,5.82
Chicama,3698359,PE,-7.84,-79.15,1593039855,66.13,74,72,7.9
São Filipe,3374210,CV,14.9,-24.5,1593039855,75.94,83,26,5.73
Lere,2332079,NG,10.39,8.57,1593039855,73.78,79,76,5.48
Los Llanos de Aridane,2514651,ES,28.66,-17.92,1593039596,71.6,73,40,20.8
Souillac,933995,MU,-20.52,57.52,1593039855,71.6,83,40,9.17
Katsuura,2112309,JP,35.13,140.3,1593039855,68.0,100,75,3.36
Bosaso,64013,SO,11.28,49.18,1593039692,89.42,51,16,5.77
Andenes,3163146,NO,69.31,16.12,1593039784,51.8,87,90,5.82
Jerécuaro,4004026,MX,20.15,-100.52,1593039856,75.2,53,75,3.36
Lucknow,1264733,IN,26.85,80.92,1593039603,82.4,94,75,5.26
Angoche,1052944,MZ,-16.23,39.91,1593039725,72.64,82,13,11.5
Abhā,110690,SA,18.22,42.51,1593039809,71.6,46,43,6.71
Constitución,3893726,CL,-35.33,-72.42,1593039856,49.75,80,94,8.05
Sørland,3137469,NO,67.67,12.69,1593039856,55.85,87,100,15.93
Bandarbeyla,64814,SO,9.49,50.81,1593039856,81.75,67,0,24.49
Vachi,539511,RU,42.07,47.22,1593039856,53.04,64,2,4.74
Kushālgarh,1265452,IN,23.2,74.45,1593039856,82.18,75,95,9.78
Oktyabr'skiy,515879,RU,54.48,53.47,1593039856,45.95,91,8,6.13
Djibouti,223816,DJ,11.5,42.5,1593039725,93.2,32,1,3.11
Mineros,3910343,BO,-17.12,-63.23,1593039857,75.2,88,75,13.87
Bani Walid,2218840,LY,31.76,13.99,1593039857,69.12,71,0,5.37
Chokurdakh,2126123,RU,70.63,147.92,1593039857,74.97,32,32,7.27
Ketchikan,5554428,US,55.34,-131.65,1593039847,62.6,59,75,12.75
Nanortalik,3421765,GL,60.14,-45.24,1593039857,43.97,76,100,4.14
Lebu,3883457,CL,-37.62,-73.65,1593039857,47.84,81,3,5.14
Tutóia,3385899,BR,-2.76,-42.27,1593039857,77.83,84,72,6.82
Hamilton,4513583,US,39.18,-84.53,1593039828,78.8,44,20,8.05
Marabá,3395503,BR,-5.37,-49.12,1593039731,80.6,78,20,1.59
Camopi,3382226,GF,3.17,-52.32,1593039857,74.41,96,61,2.3
Faya,110690,SA,18.39,42.45,1593039857,71.6,46,44,4.59
Taoudenni,2450173,ML,22.68,-3.98,1593039574,98.08,9,0,14.85
Curup,1645875,ID,-3.47,102.53,1593039857,68.14,80,86,3.53
Leer,371466,SS,8.3,30.14,1593039858,74.1,78,38,4.03
Río Gallegos,3838859,AR,-51.62,-69.22,1593039858,35.6,78,20,11.41
Viet Tri,1562820,VN,21.3,105.43,1593039703,84.2,83,100,6.93
Marawi,1701054,PH,8.0,124.29,1593039858,78.01,89,99,5.99
Son La,1567681,VN,21.32,103.9,1593039858,73.2,85,99,1.72
Areosa,2742765,PT,41.72,-8.86,1593039858,64.99,93,75,4.7
Srednekolymsk,2121025,RU,67.45,153.68,1593039858,75.16,29,53,5.08
Hecun,1808747,CN,36.53,114.11,1593039858,74.46,66,14,0.85
Pinyug,509451,RU,60.25,47.78,1593039858,36.37,92,14,4.14
Menzel Salem,2469252,TN,35.86,8.48,1593039858,78.8,26,20,2.24
Hualmay,3939761,PE,-11.1,-77.61,1593039858,62.71,83,42,9.86
Puertollano,2512177,ES,38.69,-4.11,1593039858,78.01,36,1,5.1
Yangi Marg`ilon,1513491,UZ,40.43,71.72,1593039859,71.6,35,0,6.93
Yuxia,1785572,CN,34.06,108.63,1593039859,77.0,64,0,4.47
Mbour,2248477,SN,14.42,-16.96,1593039859,80.6,83,20,10.29
Anori,3665315,BR,-3.77,-61.64,1593039859,79.83,76,54,2.1
Asău,686090,RO,46.43,26.4,1593039859,61.0,93,4,3.36
Khonsa,1266668,IN,27.02,95.57,1593039859,69.73,96,100,2.84
Del Rio,5520076,US,29.36,-100.9,1593039859,100.4,17,20,3.36
Astoria,5711847,US,46.19,-123.83,1593039717,66.0,82,90,14.99
Edineţ,617076,MD,48.17,27.3,1593039859,63.0,82,23,7.58
Altayskoye,1511736,RU,51.95,85.33,1593039859,59.25,87,100,4.94
Capreol,5959803,CA,46.71,-80.92,1593039662,55.4,100,90,12.75
Simões,3387625,BR,-7.6,-40.82,1593039860,72.39,61,21,9.37
Mayo,4362001,US,38.89,-76.51,1593039860,84.99,37,1,4.7
Karratha,6620339,AU,-20.74,116.85,1593039612,66.42,59,0,8.05
Aripuanã,3665202,BR,-9.17,-60.63,1593039640,78.24,59,1,0.43
Soyo,2236967,AO,-6.13,12.37,1593039860,73.42,85,24,6.17
Tautira,4033557,PF,-17.73,-149.15,1593039860,80.6,83,75,10.29
Saint-Louis,2246451,SN,16.33,-15.0,1593039860,87.13,43,46,14.29
Kendari,1640344,ID,-3.94,122.5,1593039860,74.39,94,100,4.68
Alofi,4036284,NU,-19.06,-169.92,1593039860,80.6,74,75,8.05
Parabel',1495586,RU,58.7,81.48,1593039860,53.76,85,96,2.8
Berlevåg,780687,NO,70.86,29.09,1593039860,46.69,84,39,14.5
Novobirilyussy,1508260,RU,56.95,90.67,1593039860,60.98,93,91,3.67
Laas,3175096,IT,46.62,10.7,1593039860,59.0,82,5,1.12
Ilulissat,3423146,GL,69.22,-51.1,1593039861,41.0,80,23,5.82
Tawang Town,1254832,IN,27.58,91.87,1593039861,56.95,79,91,1.57
Ileza,829291,RU,61.05,43.9,1593039861,41.23,82,70,2.04
Luleå,604490,SE,65.58,22.15,1593039861,66.2,55,95,4.7
Kruisfontein,986717,ZA,-34.0,24.73,1593039861,60.62,31,0,8.66
Lukovetskiy,533418,RU,64.3,41.92,1593039861,44.6,87,20,0.81
Hohhot,2036892,CN,40.81,111.65,1593039861,55.4,76,0,4.47
Saint-François,2980080,FR,46.42,3.91,1593039861,72.0,68,1,2.24
Assiut,359783,EG,27.18,31.18,1593039861,80.6,34,0,20.8
Santa Isabel,3450188,BR,-23.32,-46.22,1593039653,69.8,77,55,2.84
Brandfort,1015969,ZA,-28.7,26.46,1593039861,30.2,74,0,4.7
Longkou,1802550,CN,37.65,120.33,1593039861,68.76,81,7,11.43
Odienné,2283016,CI,9.51,-7.57,1593039726,75.97,75,52,3.65
Tarazona,3108308,ES,41.9,-1.73,1593039862,75.2,47,99,6.93
Sitka,5557293,US,57.05,-135.33,1593039591,53.6,71,90,5.82
Muros,3115824,ES,42.78,-9.06,1593039862,64.0,81,68,3.0
Fredericton,5957776,CA,45.95,-66.67,1593039862,73.4,83,40,13.87
Opoczno,763111,PL,51.38,20.28,1593039862,61.0,90,58,2.42
Kaitangata,2208248,NZ,-46.28,169.85,1593039862,48.99,92,95,8.01
Hunsūr,1269873,IN,12.31,76.29,1593039862,69.64,92,100,1.72
Anloga,2304548,GH,5.79,0.9,1593039862,80.6,83,20,11.41
Santa Cruz de Barahona,3492985,DO,18.21,-71.1,1593039862,83.7,69,44,9.69
Caledon,3369179,ZA,-34.23,19.43,1593039862,54.0,47,0,4.23
Ivanovka,1528252,KG,42.89,75.08,1593039862,57.2,76,0,6.71
Prince George,6113365,CA,53.92,-122.75,1593039606,73.99,46,40,10.29
Estación Coahuila,3979494,MX,32.19,-115.0,1593039863,109.4,12,40,10.29
Muisne,3653967,EC,0.6,-80.03,1593039863,75.67,86,79,11.88
Buarcos,2741961,PT,40.17,-8.88,1593039863,62.6,88,90,12.75
Xai-Xai,1024552,MZ,-25.05,33.64,1593039863,65.19,83,25,5.01
Charters Towers,2171722,AU,-20.1,146.27,1593039863,60.89,62,0,2.51
San Luis,3837056,AR,-33.3,-66.34,1593039863,39.88,70,47,6.69
Giohar,56335,SO,2.78,45.5,1593039620,75.25,87,93,9.42
Jasper,4392354,US,37.2,-94.35,1593039863,87.8,35,20,2.86
Sassandra,2281951,CI,4.95,-6.08,1593039665,76.78,88,87,6.31
Kholbon,2022394,RU,51.88,116.25,1593039863,65.5,54,26,1.61
Haines Junction,5969025,CA,60.75,-137.51,1593039863,56.82,38,64,11.99
Nome,5870133,US,64.5,-165.41,1593039863,48.0,56,90,8.05
Lepa,1706836,PH,15.88,120.45,1593039864,80.53,84,94,6.62
Nador,2541479,MA,35.17,-2.93,1593039864,73.4,83,90,5.82
Ayan,2027316,RU,56.45,138.17,1593039864,44.47,92,100,2.24
Longido,155848,TZ,-2.73,36.68,1593039864,61.83,84,5,11.12
Padang,1633419,ID,-0.95,100.35,1593039864,78.67,58,96,5.12
Barentu,342711,ER,15.11,37.59,1593039864,81.25,39,89,7.81
Necochea,3430443,AR,-38.55,-58.74,1593039863,46.99,92,100,4.0
Kavaratti,1267390,IN,10.57,72.64,1593039864,83.03,76,99,11.83
Beringovskiy,2126710,RU,63.05,179.32,1593039864,41.34,91,99,9.4
New Port Richey,4165869,US,28.24,-82.72,1593039742,89.01,67,55,1.01
Lompoc,5367788,US,34.64,-120.46,1593039573,69.8,64,94,16.11
Valley,5611156,US,45.13,-116.13,1593039864,78.8,24,90,10.29
Beloha,1067565,MG,-25.17,45.05,1593039864,62.28,94,1,8.59
San Policarpo,1688696,PH,12.18,125.51,1593039865,83.55,77,100,7.58
Diplo,1179758,PK,24.47,69.58,1593039865,86.38,73,87,14.14
The Pas,6164499,CA,53.83,-101.25,1593039865,77.0,38,90,13.87
Newport,2641598,GB,51.59,-3.0,1593039865,71.01,74,0,6.87
Campoverde,3733380,PE,-8.48,-74.81,1593039865,87.8,58,20,6.93
Kambove,923058,CD,-10.88,26.6,1593039865,54.63,55,0,3.8
Saint Anthony,5044290,US,45.02,-93.22,1593039865,79.0,36,75,8.05
Katobu,1640972,ID,-4.94,122.53,1593039865,74.86,89,67,1.83
Kirillov,548478,RU,59.86,38.38,1593039865,54.39,64,69,3.42
Dergachi,566456,RU,51.23,48.77,1593039865,59.99,94,100,6.4
Kemin,1528606,KG,42.78,75.69,1593039865,58.98,43,0,5.23
Tessalit,2449893,ML,20.2,1.01,1593039865,93.99,15,68,4.18
Noumea,2139521,NC,-22.28,166.46,1593039866,71.01,68,59,3.36
São Miguel do Araguaia,3448455,BR,-13.28,-50.16,1593039866,75.78,59,40,1.41
Panzhihua,6929460,CN,26.59,101.71,1593039866,72.5,78,81,0.89
Raudeberg,3146487,NO,61.99,5.14,1593039866,64.0,62,63,16.26
Ningxiang,1784239,CN,37.34,111.21,1593039866,68.22,54,0,2.44
Qui Nhon,1568574,VN,13.77,109.23,1593039810,80.46,84,42,4.54
Tambura,366444,SS,5.6,27.47,1593039866,68.9,88,66,2.73
Lorengau,2092164,PG,-2.02,147.27,1593039866,84.02,78,3,11.14
Along,1278969,IN,28.17,94.77,1593039866,74.01,90,100,1.21
Kokopo,2093685,PG,-4.35,152.26,1593039567,84.11,69,2,12.68
Aztec,5456049,US,36.82,-107.99,1593039866,96.8,5,1,10.29
Binga,895057,ZW,-17.62,27.34,1593039866,58.55,61,16,1.45
Waingapu,1622318,ID,-9.66,120.26,1593039867,74.66,83,95,8.52
Castlegar,5918118,CA,49.3,-117.67,1593039764,73.0,70,45,7.27
Atbasar,1526038,KZ,51.8,68.33,1593039867,62.87,51,99,9.44
Salé,2537763,MA,34.04,-6.82,1593039705,71.01,77,75,9.17
Mitsamiouli,921786,KM,-11.38,43.28,1593039867,78.84,76,0,11.59
Kodumudi,1266387,IN,11.08,77.88,1593039867,79.68,73,95,6.13
Cienfuegos,3564124,CU,22.15,-80.44,1593039867,93.2,63,0,5.82
Khandwa,1267031,IN,21.83,76.33,1593039867,81.9,74,78,4.65
Acapulco de Juárez,3533462,MX,16.86,-99.89,1593039734,87.8,58,90,9.17
Manika,1701674,PH,11.39,122.28,1593039867,78.93,81,100,2.06
Tūkrah,88834,LY,32.53,20.58,1593039867,70.21,80,1,6.02
Waipawa,2206874,NZ,-41.41,175.52,1593039740,53.01,74,100,4.0
Tombouctou,2449066,ML,20.0,-3.0,1593039868,90.63,8,0,4.9
Pathalgaon,1260141,IN,22.57,83.47,1593039868,79.09,71,69,2.8
Kahului,5847411,US,20.89,-156.47,1593039868,87.8,55,40,18.34
Port Said,358619,EG,31.26,32.28,1593039868,73.4,83,0,10.29
Atar,2381334,MR,20.52,-13.05,1593039868,98.71,16,79,2.21
Kolokani,2454955,ML,13.57,-8.03,1593039868,88.74,35,73,17.22
Iida,1861864,JP,35.52,137.82,1593039681,68.0,100,94,2.53
Swan River,6160362,CA,52.11,-101.27,1593039826,75.16,73,65,10.22
Aljezur,2271968,PT,37.32,-8.8,1593039868,73.0,80,1,11.83
Margate,2643044,GB,51.38,1.39,1593039868,66.99,72,0,5.01
Moerai,4034188,PF,-22.43,-151.33,1593039868,75.29,85,14,19.77
Ballarat,2177091,AU,-37.57,143.85,1593039868,46.0,95,70,7.02
Normandin,6089179,CA,48.83,-72.53,1593039869,77.0,50,75,17.22
Wairoa,2206808,NZ,-39.03,177.37,1593039869,55.99,78,100,8.99
Ada,5583739,US,43.42,-116.13,1593039869,95.0,24,1,10.29
Bergen,3161733,NO,60.39,5.33,1593039869,63.0,77,15,11.41
Pangkalanbuun,1632694,ID,-2.68,111.62,1593039740,72.52,98,100,2.08
Brownsville,4676740,US,25.9,-97.5,1593039869,95.0,59,1,18.34
San Matías,3444105,BO,-16.37,-58.4,1593039869,82.69,43,30,7.58
Valdivia,3868707,CL,-39.81,-73.25,1593039869,41.0,100,3,2.24
Brunswick,5148480,US,41.24,-81.84,1593039869,73.4,49,40,11.41
Basco,1726449,PH,20.45,121.97,1593039869,84.6,76,89,8.12
Yārāda,1252783,IN,17.65,83.27,1593039870,82.4,94,20,2.24
North Bend,5742974,US,43.41,-124.22,1593039846,68.0,82,20,12.75
Marzuq,72181,YE,14.4,46.47,1593039870,81.61,34,85,4.63
Pūrna,1259177,IN,19.18,77.05,1593039870,83.79,69,86,1.41
Alappuzha,1278985,IN,9.49,76.33,1593039617,77.81,89,98,7.16
Meulaboh,1214488,ID,4.14,96.13,1593039870,77.43,77,83,3.44
Touros,3386213,BR,-5.2,-35.46,1593039870,77.0,78,75,5.82
Panguna,2088659,PG,-6.32,155.48,1593039870,78.93,64,0,2.64
Barguzin,2027109,RU,53.62,109.62,1593039672,66.31,57,0,2.08
Dickinson,4686163,US,29.46,-95.05,1593039867,86.0,66,20,8.05
Bariloche,7647007,AR,-41.15,-71.31,1593039763,35.6,64,75,8.05
Baoying,1816890,CN,33.23,119.31,1593039870,73.08,82,34,5.3
Nelidovo,522775,RU,56.22,32.78,1593039871,58.23,88,3,1.48
Poum,2138555,NC,-20.23,164.02,1593039871,71.94,64,8,11.59
Nichlaul,1261451,IN,27.32,83.73,1593039871,82.31,76,76,6.62
San Andrés,3670218,CO,12.58,-81.7,1593039871,86.0,74,90,11.41
Lata,2738381,PT,40.16,-8.33,1593039871,64.99,93,35,5.01
Saltpond,2295672,GH,5.21,-1.06,1593039596,77.63,88,50,9.35
Rawson,3839307,AR,-43.3,-65.1,1593039834,42.01,59,18,9.66
Verkh-Usugli,2013459,RU,52.7,115.17,1593039871,56.08,81,99,0.98
Lenoir,4475647,US,35.23,-77.65,1593039871,87.01,48,1,4.7
Port Augusta,2063056,AU,-32.5,137.77,1593039871,44.01,87,0,10.29
Digby,5939236,CA,44.62,-65.77,1593039871,81.0,72,11,4.0
Mbaïki,2384770,CF,3.87,17.99,1593039871,70.5,94,100,3.85
Mbini,2308278,GQ,1.57,9.61,1593039871,78.8,100,40,9.17
Edd,338345,ER,13.93,41.69,1593039872,87.46,63,75,6.2
Hobyo,57000,SO,5.35,48.53,1593039872,79.66,72,0,21.34
Vizinga,473263,RU,61.07,50.1,1593039872,37.04,93,44,5.73
Griffith,4920986,US,41.53,-87.42,1593039809,79.0,57,1,3.36
Qasigiannguit,3420768,GL,68.82,-51.19,1593039872,41.0,80,16,5.82
Iralaya,3608828,HN,15.0,-83.23,1593039592,87.8,70,40,11.41
Pinar del Río,3544091,CU,22.42,-83.7,1593039893,87.62,67,75,5.79
Chegutu,894239,ZW,-18.13,30.14,1593039893,56.64,72,95,6.55
Alcúdia,2522091,ES,39.85,3.12,1593039893,75.2,53,0,6.93
Finschhafen,2097418,PG,-6.6,147.87,1593039893,81.57,76,48,10.49
Lomovka,534313,RU,53.92,58.37,1593039893,53.6,81,20,4.47
Urmia,121801,IR,37.55,45.08,1593039893,66.47,26,0,4.03
Guerrero Negro,4021858,MX,27.98,-114.06,1593039894,72.66,59,8,16.71
Kupang,2057087,ID,-10.17,123.58,1593039894,73.4,88,20,4.7
Quatre Cocos,1106643,MU,-20.21,57.76,1593039894,71.6,83,40,9.17
Ushtobe,1517637,KZ,45.25,77.98,1593039894,61.68,51,2,4.83
Abaza,1512205,RU,52.66,90.09,1593039894,55.71,84,100,4.16
Rio Pardo de Minas,3451100,BR,-15.61,-42.54,1593039894,60.98,79,3,5.61
Bintulu,1737486,MY,3.17,113.03,1593039608,77.0,94,40,8.48
Zvishavane,878549,ZW,-20.33,30.07,1593039894,54.66,76,90,1.66
San Juan,3837213,AR,-31.54,-68.54,1593039636,44.96,77,100,8.19
Palmer,4946620,US,42.16,-72.33,1593039895,86.0,30,40,12.75
Aloleng,1731298,PH,16.13,119.78,1593039895,83.16,78,100,5.53
Shingū,1847947,JP,33.73,135.98,1593039895,71.6,100,75,2.24
Coruripe,3465329,BR,-10.13,-36.18,1593039895,75.47,84,19,9.1
Dicabisagan,1715015,PH,17.08,122.42,1593039895,82.24,77,74,6.71
Nagato,1899102,JP,34.38,131.2,1593039895,71.6,100,75,8.05
Almaznyy,582447,RU,48.04,40.05,1593039895,60.8,77,13,4.47
Okhotsk,2122605,RU,59.38,143.3,1593039859,46.99,86,100,7.78
Ankazoabo,1072879,MG,-22.28,44.52,1593039895,63.1,75,0,8.66
Gbadolite,216404,CD,4.28,21.02,1593039895,71.53,91,99,0.76
Bilma,2446796,NE,18.69,12.92,1593039895,91.17,11,0,7.47
Orkney,967476,ZA,-26.98,26.67,1593039895,48.87,45,0,3.44
Andalan,1957875,PH,5.96,121.39,1593039895,80.15,81,96,2.8
Metro,1635283,ID,-5.11,105.31,1593039896,72.61,92,80,3.98
Hofn,2630299,IS,64.25,-15.21,1593039784,50.29,90,96,4.72
El Rodeo,3596249,GT,14.92,-91.97,1593039896,89.6,59,40,11.41
Vostok,2013279,RU,46.49,135.88,1593039896,52.47,100,100,2.93
Taos,5493811,US,36.41,-105.57,1593039896,86.0,19,1,8.05
Willowmore,939676,ZA,-33.29,23.49,1593039896,53.92,38,0,11.43
Saint-Marc,3717588,HT,19.11,-72.69,1593039896,83.75,74,13,5.77
Bubaque,2374583,GW,11.28,-15.83,1593039896,82.62,82,100,11.83
Simbahan,1695180,PH,6.3,120.58,1593039896,83.16,72,94,4.12
Jinchang,1805733,CN,38.5,102.17,1593039896,70.41,20,82,3.71
Tessaoua,2438823,NE,13.76,7.99,1593039896,94.75,19,19,5.03
Pangnirtung,6096551,CA,66.15,-65.71,1593039897,39.2,93,75,6.93
Biankouma,2291666,CI,7.74,-7.61,1593039897,69.58,96,73,2.57
